1;18;Autres coups et blessures volontaires;235.0;2691
2;19;Autres coups et blessures volontaires;199.0;2691
3;20;Autres coups et blessures volontaires;174.0;2691
4;21;Autres coups et blessures volontaires;177.0;2691
5;18;Autres coups et blessures volontaires;199.0;6004
6;19;Autres coups et blessures volontaires;214.0;6004
7;20;Autres coups et blessures volontaires;221.0;6004
8;21;Autres coups et blessures volontaires;232.0;6004
9;18;Autres coups et blessures volontaires;258.0;6029
10;19;Autres coups et blessures volontaires;257.0;6029
11;20;Autres coups et blessures volontaires;285.0;6029
12;21;Autres coups et blessures volontaires;301.0;6029
13;18;Autres coups et blessures volontaires;1269.0;6088
14;19;Autres coups et blessures volontaires;1409.0;6088
15;20;Autres coups et blessures volontaires;1324.0;6088
16;21;Autres coups et blessures volontaires;1378.0;6088
17;18;Autres coups et blessures volontaires;304.0;10387
18;19;Autres coups et blessures volontaires;298.0;10387
19;20;Autres coups et blessures volontaires;244.0;10387
20;21;Autres coups et blessures volontaires;278.0;10387
21;18;Autres coups et blessures volontaires;471.0;13001
22;19;Autres coups et blessures volontaires;554.0;13001
23;20;Autres coups et blessures volontaires;481.0;13001
24;21;Autres coups et blessures volontaires;523.0;13001
25;18;Autres coups et blessures volontaires;184.0;13004
26;19;Autres coups et blessures volontaires;194.0;13004
27;20;Autres coups et blessures volontaires;181.0;13004
28;21;Autres coups et blessures volontaires;191.0;13004
29;18;Autres coups et blessures volontaires;3435.0;13055
30;19;Autres coups et blessures volontaires;3458.0;13055
31;20;Autres coups et blessures volontaires;3250.0;13055
32;21;Autres coups et blessures volontaires;3526.0;13055
33;18;Autres coups et blessures volontaires;487.0;14118
34;19;Autres coups et blessures volontaires;453.0;14118
35;20;Autres coups et blessures volontaires;410.0;14118
36;21;Autres coups et blessures volontaires;490.0;14118
37;18;Autres coups et blessures volontaires;235.0;17300
38;19;Autres coups et blessures volontaires;257.0;17300
39;20;Autres coups et blessures volontaires;298.0;17300
40;21;Autres coups et blessures volontaires;283.0;17300
41;18;Autres coups et blessures volontaires;202.0;18033
42;19;Autres coups et blessures volontaires;242.0;18033
43;20;Autres coups et blessures volontaires;207.0;18033
44;21;Autres coups et blessures volontaires;206.0;18033
45;18;Autres coups et blessures volontaires;510.0;21231
46;19;Autres coups et blessures volontaires;494.0;21231
47;20;Autres coups et blessures volontaires;504.0;21231
48;21;Autres coups et blessures volontaires;494.0;21231
49;18;Autres coups et blessures volontaires;591.0;25056
50;19;Autres coups et blessures volontaires;578.0;25056
51;20;Autres coups et blessures volontaires;548.0;25056
52;21;Autres coups et blessures volontaires;553.0;25056
53;18;Autres coups et blessures volontaires;295.0;26362
